...,N,Il'IpsIs,00000000000000000000000001000,650
0,N,z'Iro,10000000001000000100000000001,650
1,N,w'^n,10000000001001000000000000000,650
!10,N,t'En,10000000001000000000000000000,650
100,N,w`^nh'^ndrId,10000000001000000000000000000,650
!1000,N,w`^nT'Wzxnd,10000000001000000000000000001,650
100th,N,h'^ndrIdT,00000000001000000000000000001,650
101st,N,h'^ndrIdxndf'Rst,00000000001000000000000000001,650
102,N,w`^nh'^ndrId@ndt'u,10000000001000000000000000000,650
102nd,N,h'^ndrIdxnds'Ekxnd,00000000001000000000000000001,650
103rd,N,h'^ndrIdxndT'Rd,00000000001000000000000000001,650
104th,N,h'^ndrIdxndf'orT,00000000001000000000000000001,650
105th,N,h'^ndrIdxndf'IfT,00000000001000000000000000001,650
106th,N,h'^ndrIdxnds'IksT,00000000001000000000000000001,650
107th,N,h'^ndrIdxnds'EvxnT,00000000001000000000000000001,650
108th,N,h'^ndrIdxnd'etT,00000000001000000000000000001,650
109th,N,h'^ndrIdxndn'AnT,00000000001000000000000000001,650
10th,N,t'EnT,00000000001000000000000000001,650
11,N,Il'Evxn,10000000001000000000000000001,650
110th,N,h'^ndrIdxndt'EnT,00000000001000000000000000001,650
111th,N,h'^ndrIdxndIl'EvxnT,00000000001000000000000000001,650
112th,N,h'^ndrIdxndtw'ElfT,00000000001000000000000000001,650
113th,N,h'^ndrIdxndT`Rt'inT,00000000001000000000000000001,650
114th,N,h'^ndrIdxndf`ort'inT,00000000001000000000000000001,650
115th,N,h'^ndrIdxndf`Ift'inT,00000000001000000000000000001,650
116th,N,h'^ndrIdxnds`Ikst'inT,00000000001000000000000000001,650
117th,N,h'^ndrIdxnds`Evxnt'inT,00000000001000000000000000001,650
118th,N,h'^ndrIdxnd`et'inT,00000000001000000000000000001,650
119th,N,h'^ndrIdxndn`Ant'inT,00000000001000000000000000001,650
11th,N,il'EvxnT,00000000001000000000000000001,650
12,N,tw'Elv,10000000001000000000000000001,650
120th,N,h'^ndrIdxndtw'EntiIT,00000000001000000000000000001,650
121st,N,h'^ndrIdxndtw`Entif'Rst,00000000001000000000000000001,650
122nd,N,h'^ndrIdxndtw`Entis'Ekxnd,00000000001000000000000000001,650
123rd,N,h'^ndrIdxndtw`EntiT'Rd,00000000001000000000000000001,650
124th,N,h'^ndrIdxndtw`Entif'orT,00000000001000000000000000001,650
125th,N,h'^ndrIdxndtw`Entif'IfT,00000000001000000000000000001,650
126th,N,h'^ndrIdxndtw`Entis'IksT,00000000001000000000000000001,650
127th,N,h'^ndrIdxndtw`Entis'EvxnT,00000000001000000000000000001,650
128th,N,h'^ndrIdxndtw`Enti'etT,00000000001000000000000000001,650
129th,N,h'^ndrIdxndtw`Entin'AnT,00000000001000000000000000001,650
12th,N,tw'ElfT,00000000001000000000000000001,650
13,N,T`Rt'in,10000000001000000000000000000,650
130th,N,h'^ndrIdxndT'RtiIT,00000000001000000000000000001,650
131st,N,h'^ndrIdxndT`Rtif'Rst,00000000001000000000000000001,650
132nd,N,h'^ndrIdxndT`Rtis'Ekxnd,00000000001000000000000000001,650
133rd,N,h'^ndrIdxndT`RtiT'Rd,00000000001000000000000000001,650
134th,N,h'^ndrIdxndT`Rtif'orT,00000000001000000000000000001,650
135th,N,h'^ndrIdxndT`Rtif'IfT,00000000001000000000000000001,650
136th,N,h'^ndrIdxndT`Rtis'IksT,00000000001000000000000000001,650
137th,N,h'^ndrIdxndT`Rtis'EvxnT,00000000001000000000000000001,650
138th,N,h'^ndrIdxndT`Rti'etT,00000000001000000000000000001,650
139th,N,h'^ndrIdxndT`Rtin'AnT,00000000001000000000000000001,650
13th,N,T`Rt'inT,00000000001000000000000000001,650
14,N,f`ort'in,10000000001000000000000000000,650
140th,N,h'^ndrIdxndf'ortiIT,00000000001000000000000000001,650
141st,N,h'^ndrIdxndf`ortif'Rst,00000000001000000000000000001,650
142nd,N,h'^ndrIdxndf`ortis'Ekxnd,00000000001000000000000000001,650
143rd,N,h'^ndrIdxndf`ortiT'Rd,00000000001000000000000000001,650
144th,N,h'^ndrIdxndf`ortif'orT,00000000001000000000000000001,650
145th,N,h'^ndrIdxndf`ortif'IfT,00000000001000000000000000001,650
146th,N,h'^ndrIdxndf`ortis'IksT,00000000001000000000000000001,650
147th,N,h'^ndrIdxndf`ortis'EvxnT,00000000001000000000000000001,650
148th,N,h'^ndrIdxndf`orti'etT,00000000001000000000000000001,650
149th,N,h'^ndrIdxndf`ortin'AnT,00000000001000000000000000001,650
14th,N,f`ort'inT,00000000001000000000000000001,650
15,N,f`Ift'in,10000000001000000000000000000,650
15th,N,f`Ift'inT,00000000001000000000000000001,650
16,N,s`Ikst'in,10000000001000000000000000000,650
16th,N,s`Ikst'inT,00000000001000000000000000001,650
17,N,s`Evxnt'in,10000000001000000000000000000,650
17th,N,s`Evxnt'inT,00000000001000000000000000001,650
18,N,`et'in,10000000001000000000000000000,650
18th,N,`et'inT,00000000001000000000000000001,650
19,N,n`Ant'in,10000000001000000000000000000,650
19th,N,n`Ant'inT,00000000001000000000000000001,650
1st,N,f'Rst,00000000001000000000000000001,650
2,N,t'u,10000000001000000000000000000,650
20,N,tw'Enti,10000000001000000000000000000,650
20th,N,tw'EntiIT,00000000001000000000000000001,650
21st,N,tw`Entif'Rst,00000000001000000000000000001,650
22,N,tw'Entit'u,00000000001000000000000000000,650
22nd,N,tw`Entis'Ekxnd,00000000001000000000000000001,650
23,N,tw'EntiTr'i,00000000001000000000000000000,650
23rd,N,tw`EntiT'Rd,00000000001000000000000000001,650
24th,N,tw`Entif'orT,00000000001000000000000000001,650
25,N,tw'Entif`Av,10000000001000000000000000000,650
25th,N,tw`Entif'IfT,00000000001000000000000000001,650
26,N,tw'Entis'Iks,00000000001000000000000000000,650
26th,N,tw`Entis'IksT,00000000001000000000000000001,650
27th,N,tw`Entis'EvxnT,00000000001000000000000000001,650
28th,N,tw`Enti'etT,00000000001000000000000000001,650
29th,N,tw`Entin'AnT,00000000001000000000000000001,650
2nd,N,s'Ekxnd,00000000001000000000000000001,650
3,N,Tr'i,10000000001000000000000000000,650
30,N,T'Rti,10000000001000000000000000000,650
30th,N,T'RtiIT,00000000001000000000000000001,650
31st,N,T`Rtif'Rst,00000000001000000000000000001,650
32nd,N,T`Rtis'Ekxnd,00000000001000000000000000001,650
33rd,N,T`RtiT'Rd,00000000001000000000000000001,650
34th,N,T`Rtif'orT,00000000001000000000000000001,650
35th,N,T`Rtif'IfT,00000000001000000000000000001,650
36th,N,T`Rtis'IksT,00000000001000000000000000001,650
37th,N,T`Rtis'EvxnT,00000000001000000000000000001,650
38th,N,T`Rti'etT,00000000001000000000000000001,650
39th,N,T`Rtin'AnT,00000000001000000000000000001,650
3Com.,N,Tr'ik`am,00000000001000000000000000001,650
3rd,N,T'Rd,00000000001000000000000000001,650
4,N,f'or,10000000001000000000000000000,650
40,N,f'orti,10000000001000000000000000000,650
40th,N,f'ortiIT,00000000001000000000000000001,650
41st,N,f`ortif'Rst,00000000001000000000000000001,650
42nd,N,f`ortis'Ekxnd,00000000001000000000000000001,650
43rd,N,f`ortiT'Rd,00000000001000000000000000001,650
44th,N,f`ortif'orT,00000000001000000000000000001,650
45,N,f'ortif'Av,10000000001000000000000000000,650
45th,N,f`ortif'IfT,00000000001000000000000000001,650
46th,N,f`ortis'IksT,00000000001000000000000000001,650
47th,N,f`ortis'EvxnT,00000000001000000000000000001,650
48th,N,f`orti'etT,00000000001000000000000000001,650
49th,N,f`ortin'AnT,00000000001000000000000000001,650
4th,N,f'orT,00000000001000000000000000001,650
5,N,f'Av,10000000001000000000000000000,650
50,N,f'Ifti,10000000001000000000000000000,650
50th,N,f'IftiIT,00000000001000000000000000001,650
51st,N,f`Iftif'Rst,00000000001000000000000000001,650
52nd,N,f`Iftis'Ekxnd,00000000001000000000000000001,650
53rd,N,f`IftiT'Rd,00000000001000000000000000001,650
54th,N,f`Iftif'orT,00000000001000000000000000001,650
55th,N,f`Iftif'IfT,00000000001000000000000000001,650
56th,N,f`Iftis'IksT,00000000001000000000000000001,650
57th,N,f`Iftis'EvxnT,00000000001000000000000000001,650
58th,N,f`Ifti'etT,00000000001000000000000000001,650
59,N,f'Iftin'An,00000000001000000000000000000,650
59th,N,f`Iftin'AnT,00000000001000000000000000001,650
5th,N,f'IfT,00000000001000000000000000001,650
6,N,s'Iks,10000000001000000000000000000,650
60,N,s'Iksti,10000000001000000000000000000,650
60th,N,s'IkstiIT,00000000001000000000000000001,650
61st,N,s`Ikstif'Rst,00000000001000000000000000001,650
62nd,N,s`Ikstis'Ekxnd,00000000001000000000000000001,650
63rd,N,s`IkstiT'Rd,00000000001000000000000000001,650
64,N,s'Ikstif`or,10000000001000000000000000001,650
64th,N,s`Ikstif'orT,00000000001000000000000000001,650
65th,N,s`Ikstif'IfT,00000000001000000000000000001,650
66th,N,s`Ikstis'IksT,00000000001000000000000000001,650
67th,N,s`Ikstis'EvxnT,00000000001000000000000000001,650
68th,N,s`Iksti'etT,00000000001000000000000000001,650
69th,N,s`Ikstin'AnT,00000000001000000000000000001,650
6th,N,s'IksT,00000000001000000000000000001,650
7,N,s'Evxn,10000000001001000000000000001,650
70,N,s'Evxnti,10000000001000000000000000000,650
70th,N,s'EvxntiIT,00000000001000000000000000001,650
71,N,s'Evxntiw`^n,10000000001000000000000000001,650
71st,N,s`Evxntif'Rst,00000000001000000000000000001,650
72nd,N,s`Evxntis'Ekxnd,00000000001000000000000000001,650
73rd,N,s`EvxntiT'Rd,00000000001000000000000000001,650
74th,N,s`Evxntif'orT,00000000001000000000000000001,650
75th,N,s`Evxntif'IfT,00000000001000000000000000001,650
76th,N,s`Evxntis'IksT,00000000001000000000000000001,650
77th,N,s`Evxntis'EvxnT,00000000001000000000000000001,650
78th,N,s`Evxnti'etT,00000000001000000000000000001,650
79th,N,s`Evxntin'AnT,00000000001000000000000000001,650
7th,N,s'EvxnT,00000000001000000000000000001,650
8,N,'et,10000000001000000000000000000,650
80,N,'eti,10000000001000000000000000000,650
80th,N,'etiIT,00000000001000000000000000001,650
81st,N,`etif'Rst,00000000001000000000000000001,650
82nd,N,`etis'Ekxnd,00000000001000000000000000001,650
83rd,N,`etiT'Rd,00000000001000000000000000001,650
84th,N,`etif'orT,00000000001000000000000000001,650
85th,N,`etif'IfT,00000000001000000000000000001,650
86th,N,`etis'IksT,00000000001000000000000000001,650
87th,N,`etis'EvxnT,00000000001000000000000000001,650
88th,N,`eti'etT,00000000001000000000000000001,650
89th,N,`etin'AnT,00000000001000000000000000001,650
8th,N,'etT,00000000001000000000000000001,650
9,N,n'An,10000000001000000000000000001,650
90,N,n'Anti,10000000001000000000000000000,650
90th,N,n'AntiIT,00000000001000000000000000001,650
91st,N,n`Antif'Rst,00000000001000000000000000001,650
92nd,N,n`Antis'Ekxnd,00000000001000000000000000001,650
93rd,N,n`AntiT'Rd,00000000001000000000000000001,650
94th,N,n`Antif'orT,00000000001000000000000000001,650
95th,N,n`Antif'IfT,00000000001000000000000000001,650
96th,N,n`Antis'IksT,00000000001000000000000000001,650
97th,N,n`Antis'EvxnT,00000000001000000000000000001,650
98,N,n'Antiet,00000000001000000000000000000,650
98th,N,n`Anti'etT,00000000001000000000000000001,650
99th,N,n`Antin'AnT,00000000001000000000000000001,650
9th,N,n'AnT,00000000001000000000000000001,650
::,N,prxp'orSxn,00000000000000000000000001000,650
;,N,s'Emik`olxn,00000000000000000000000001000,650
A-bombs,N,'eb`amz,00000000001000000000000000000,650
A-frame,N,'efr`em,00000000001000000000000000000,650
A-frames,N,'efr`emz,00000000001000000000000000000,650
A-horizon,N,'ehxr'Azxn,00000000001000000000000000000,650
