adt	[axl ' aes k ax d ' eyl ayt  t ' aym ]
adt.	[axl ' aes k ax d ' eyl ayt  t ' aym ]
ak	[axl ' aes k ax]
ak.	[axl ' aes k ax]
apr	[' eyp r axl ]
apr.	[' eyp r axl ]
ar	[' aar k axn s ao]
ar.	[' aar k axn s ao]
ast	[axl ' aes k ax st ' aen d rrd  t ' aym ]
ast.	[axl ' aes k ax st ' aen d rrd  t ' aym ]
attn	[axt ' ehn shaxn ]
attn.	[axt ' ehn shaxn ]
atty	[axt ' rrn iy]
atty.	[axt ' rrn iy]
aug	[' aog axs t ]
aug.	[' aog axs t ]
av	[' aev axn uw]
av.	[' aev axn uw]
avbl	[axv ' eyl axb axl ]
avbl.	[axv ' eyl axb axl ]
ave	[' aev axn uw]
ave.	[' aev axn uw]
az	[aer axz ' own ax]
az.	[aer axz ' own ax]
bldg	[b ' ihl d ixnx]
bldg.	[b ' ihl d ixnx]
blvd	[b ' uhl axv ' aar d ]
blvd.	[b ' uhl axv ' aar d ]
ca	[k ' ael axf ' owr n iyax]
ca.	[k ' ael axf ' owr n iyax]
calif	[k ' ael axf ' owr n iyax]
calif.	[k ' ael axf ' owr n iyax]
cdt	[s ' ehn t r axl  d ' eyl ayt  t ' aym ]
cdt.	[s ' ehn t r axl  d ' eyl ayt  t ' aym ]
cir	[s ' rrk axl ]
cir.	[s ' rrk axl ]
cldy	[k l ' awd iy]
cldy.	[k l ' awd iy]
corp	[k ' aor p rr' eyshaxn ]
corp.	[k ' aor p rr' eyshaxn ]
cst	[s ' ehn t r axl  st ' aen d rrd  t ' aym ]
cst.	[s ' ehn t r axl  st ' aen d rrd  t ' aym ]
dec	[d ixs ' ehm b rr]
dec.	[d ixs ' ehm b rr]
dep	[d ihp ' aar t m axn t ]
dep.	[d ihp ' aar t m axn t ]
dept	[d ihp ' aar t m axn t ]
dept.	[d ihp ' aar t m axn t ]
doz	[d ' ahz axn ]
doz.	[d ' ahz axn ]
drs	[d ' aok t rrz ]
drs.	[d ' aok t rrz ]
e.g.	[f owr ihg z ' aem p axl ]
edt	[' iys t rrn  d ' eyl ayt  t ' aym ]
edt.	[' iys t rrn  d ' eyl ayt  t ' aym ]
ene	[' iys t  n aor th* ' iys t ]
ene.	[' iys t  n aor th* ' iys t ]
ese	[' iys t  s awth* ' iys t]
ese.	[' iys t  s awth* ' iys t]
esp	[ixs p ' ehshaxl iy]
esp.	[ixs p ' ehshaxl iy]
est	[' iys t rrn  st ' aen d rrd  t ' aym ]
est.	[' iys t rrn  st ' aen d rrd  t ' aym ]
etc	[eht s ' eht rrax]
etc.	[eht s ' eht rrax]
expwy	[ihk s p r ' ehs w ` ey]
expwy.	[ihk s p r ' ehs w ` ey]
feb	[f ' ehb r uw` ehr iy]
feb.	[f ' ehb r uw` ehr iy]
fl	[f l ' owr ihd ax]
fl.	[f l ' owr ihd ax]
fla	[f l ' owr ihd ax]
fla.	[f l ' owr ihd ax]
fri	[f r ' ayd ey]
fri.	[f r ' ayd ey]
ga	[jh' owr jhax]
ga.	[jh' owr jhax]
gu	[g w ' aam ]
gu.	[g w ' aam ]
ht	[hx' ayt ]
ht.	[hx' ayt ]
hwy	[hx' ay* w ` ey]
hwy.	[hx' ay* w ` ey]
hx	[hx' iyt * ` ihn d ehk s ]
hx.	[hx' iyt * ` ihn d ehk s ]
i.e.	[dhaet ihz ]
ia	[' ayowax]
ia.	[' ayowax]
il	[` ihl axn ' oy]
il.	[` ihl axn ' oy]
inc	[ihn k ' aor p rr` eyt ixd ]
inc.	[ihn k ' aor p rr` eyt ixd ]
jr	[jh' uwn yxrr]
jr.	[jh' uwn yxrr]
